date,name
2049-09-10,CHUSEOK_B
2049-09-11,CHUSEOK
2049-09-12,CHUSEOK_A
2049-09-13,Alternative
2049-12-25,CHRISTMAS
2050-01-01,NEW_YEARS_DAY
2050-01-22,SEOLLAL_B
2050-01-23,SEOLLAL
2050-01-24,SEOLLAL_A
2050-01-25,Alternative
2050-03-01,INDEPENDENCE_MOVEMENT_DAY
2050-05-01,LABOUR_DAY
2050-05-05,CHILDRENS_DAY
2050-05-28,BUDDHAS_BIRTHDAY
2050-06-06,MEMORIAL_DAY
2050-08-15,LIBERATION_DAY
2050-09-29,CHUSEOK_B
2050-09-30,CHUSEOK
2050-10-01,CHUSEOK_A
2050-12-25,CHRISTMAS
2051-01-01,NEW_YEARS_DAY
2051-02-10,SEOLLAL_B
2051-02-11,SEOLLAL
2051-02-12,SEOLLAL_A
2051-02-13,Alternative
2051-03-01,INDEPENDENCE_MOVEMENT_DAY
2051-05-01,LABOUR_DAY
2051-05-05,CHILDRENS_DAY
2051-05-17,BUDDHAS_BIRTHDAY
2051-06-06,MEMORIAL_DAY
2051-08-15,LIBERATION_DAY
2051-09-18,CHUSEOK_B
2051-09-19,CHUSEOK
2051-09-20,CHUSEOK_A
2051-12-25,CHRISTMAS
2052-01-01,NEW_YEARS_DAY
2052-01-31,SEOLLAL_B
2052-02-01,SEOLLAL
2052-02-02,SEOLLAL_A
2052-03-01,INDEPENDENCE_MOVEMENT_DAY
2052-05-01,LABOUR_DAY
2052-05-05,CHILDRENS_DAY
2052-05-06,BUDDHAS_BIRTHDAY
2052-05-06,Alternative
2052-06-06,MEMORIAL_DAY
2052-08-15,LIBERATION_DAY
2052-09-06,CHUSEOK_B
2052-09-07,CHUSEOK
2052-09-08,CHUSEOK_A
2052-09-09,Alternative
2052-12-25,CHRISTMAS
2053-01-01,NEW_YEARS_DAY
2053-02-18,SEOLLAL_B
2053-02-19,SEOLLAL
2053-02-20,SEOLLAL_A
2053-03-01,INDEPENDENCE_MOVEMENT_DAY
2053-05-01,LABOUR_DAY
2053-05-05,CHILDRENS_DAY
2053-05-25,BUDDHAS_BIRTHDAY
2053-06-06,MEMORIAL_DAY
2053-08-15,LIBERATION_DAY
2053-09-25,CHUSEOK_B
2053-09-26,CHUSEOK
2053-09-27,CHUSEOK_A
2053-12-25,CHRISTMAS
2054-01-01,NEW_YEARS_DAY
2054-02-07,SEOLLAL_B
2054-02-08,SEOLLAL
2054-02-09,SEOLLAL_A
2054-02-10,Alternative
2054-03-01,INDEPENDENCE_MOVEMENT_DAY
2054-05-01,LABOUR_DAY
2054-05-05,CHILDRENS_DAY
2054-05-15,BUDDHAS_BIRTHDAY
2054-06-06,MEMORIAL_DAY
2054-08-15,LIBERATION_DAY
2054-09-15,CHUSEOK_B
2054-09-16,CHUSEOK
2054-09-17,CHUSEOK_A
2054-12-25,CHRISTMAS
2055-01-01,NEW_YEARS_DAY
2055-01-27,SEOLLAL_B
2055-01-28,SEOLLAL
2055-01-29,SEOLLAL_A
2055-03-01,INDEPENDENCE_MOVEMENT_DAY
2055-05-01,LABOUR_DAY
2055-05-04,BUDDHAS_BIRTHDAY
2055-05-05,CHILDRENS_DAY
2055-06-06,MEMORIAL_DAY
2055-08-15,LIBERATION_DAY
2055-10-04,CHUSEOK_B
2055-10-05,CHUSEOK
2055-10-06,CHUSEOK_A
2055-12-25,CHRISTMAS
2056-01-01,NEW_YEARS_DAY
2056-02-14,SEOLLAL_B
2056-02-15,SEOLLAL
2056-02-16,SEOLLAL_A
2056-03-01,INDEPENDENCE_MOVEMENT_DAY
2056-05-01,LABOUR_DAY
2056-05-05,CHILDRENS_DAY
2056-05-22,BUDDHAS_BIRTHDAY
2056-06-06,MEMORIAL_DAY
2056-08-15,LIBERATION_DAY
2056-09-23,CHUSEOK_B
2056-09-24,CHUSEOK
2056-09-25,CHUSEOK_A
2056-09-26,Alternative
2056-12-25,CHRISTMAS
2057-01-01,NEW_YEARS_DAY
2057-02-03,SEOLLAL_B
2057-02-04,SEOLLAL
2057-02-05,SEOLLAL_A
2057-02-06,Alternative
2057-03-01,INDEPENDENCE_MOVEMENT_DAY
2057-05-01,LABOUR_DAY
2057-05-05,CHILDRENS_DAY
2057-05-07,Alternative
2057-05-11,BUDDHAS_BIRTHDAY
2057-06-06,MEMORIAL_DAY
2057-08-15,LIBERATION_DAY
2057-09-12,CHUSEOK_B
2057-09-13,CHUSEOK
2057-09-14,CHUSEOK_A
2057-12-25,CHRISTMAS
2058-01-01,NEW_YEARS_DAY
2058-01-23,SEOLLAL_B
2058-01-24,SEOLLAL
2058-01-25,SEOLLAL_A
2058-03-01,INDEPENDENCE_MOVEMENT_DAY
2058-04-30,BUDDHAS_BIRTHDAY
2058-05-01,LABOUR_DAY
2058-05-05,CHILDRENS_DAY
2058-05-06,Alternative
2058-06-06,MEMORIAL_DAY
2058-08-15,LIBERATION_DAY
2058-10-01,CHUSEOK_B
2058-10-02,CHUSEOK
2058-10-03,CHUSEOK_A
2058-12-25,CHRISTMAS
2059-01-01,NEW_YEARS_DAY
2059-02-11,SEOLLAL_B
2059-02-12,SEOLLAL
2059-02-13,SEOLLAL_A
2059-03-01,INDEPENDENCE_MOVEMENT_DAY
2059-05-01,LABOUR_DAY
2059-05-05,CHILDRENS_DAY
2059-05-19,BUDDHAS_BIRTHDAY
2059-06-06,MEMORIAL_DAY
2059-08-15,LIBERATION_DAY
2059-09-20,CHUSEOK_B
2059-09-21,CHUSEOK
2059-09-22,CHUSEOK_A
2059-09-23,Alternative
2059-12-25,CHRISTMAS
2060-01-01,NEW_YEARS_DAY
2060-02-01,SEOLLAL_B
